# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.threadCount,1765648965480000000,1765649025054000000,76
JVM.maxThreadCount,1765648965480000000,1765649025054000000,89
JVM.GC.collectionTimesMs,1765648965480000000,1765649025054000000,1284
JVM.GC.collections,1765648965480000000,1765649025054000000,68
JVM.newThreadsCount,1765648965480000000,1765649025054000000,139
JVM.totalSafepointCount,1765648965480000000,1765649025054000000,226
JVM.totalBytesAllocated,1765648965480000000,1765649025054000000,5178352944
JVM.totalTimeToSafepointsMs,1765648965480000000,1765649025054000000,202
JVM.usedNativeBytes,1765648965480000000,1765649025054000000,225686144
JVM.totalDirectByteBuffersBytes,1765648965480000000,1765649025054000000,274613568
JVM.maxHeapBytes,1765648965480000000,1765649025054000000,5586812928
JVM.totalCpuTimeMs,1765648965480000000,1765649025054000000,446290
OS.loadAverage,1765648965480000000,1765649025054000000,7.18
JVM.usedHeapBytes,1765648965480000000,1765649025054000000,627077600
FilePageCache.totalPageLoadsUs,1765648965480000000,1765649025054000000,3384254
FilePageCacheLockFree.totalPageAllocationsWaited,1765648965480000000,1765649025054000000,0
StorageLockContext.competingThreads.90P,1765648965480000000,1765649025054000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1765648965480000000,1765649025054000000,0
FilePageCacheLockFree.totalBytesRequested,1765648965480000000,1765649025054000000,0
FilePageCache.disposedBuffers,1765648965480000000,1765649025054000000,0
DirectByteBufferAllocator.hits,1765648965480000000,1765649025054000000,0
StorageLockContext.competingThreads.max,1765648965480000000,1765649025054000000,0
